item_name,item_description,categories,1,2,3
carrot,sweet root vegetable,"root, orange, healthy","Nantes, http://cdn.shopify.com/s/files/1/0647/2509/0525/products/carrot-nantes-seed_compressed.jpg?v=1654082864","Danvers Half Long, https://cdn3.volusion.com/tmses.cnjyr/v/vspfiles/photos/danvers-carrot-2.jpg?v-cache=1490166874","Chantenay Red Core, http://cdn.shopify.com/s/files/1/0620/2749/7724/products/carrot-organic-chantenay-red-cored-1.jpg?v=1652988011"
beetroot,earthy and sweet root vegetable,"root, purple, healthy","Red Ace, https://cdn.shopify.com/s/files/1/1862/4989/products/BT133.jpg?v=1606768698","Golden Beet, https://media.istockphoto.com/id/1323341162/photo/beet-harvest.jpg?s=612x612&w=0&k=20&c=WQAq5Gt5jjZ663mPRlVGw_27gTB__HMk6v7zoxwtdXk=","Chioggia, https://www.adaptiveseeds.com/wp-content/uploads/2017/01/Chioggia-Beet-340x340.jpg"
celery,crunchy and flavorful stalks,"stem, healthy, aromatic","Tall Utah, https://i.etsystatic.com/30308693/r/il/6eca0e/3810539376/il_570xN.3810539376_jour.jpg","Golden Self-Blanching, https://i.ebayimg.com/images/g/~SIAAOSwPD9h1r-U/s-l1600.jpg","Tango,  https://i.ebayimg.com/images/g/~SIAAOSwPD9h1r-U/s-l1600.jpg"
cucumber,cool and refreshing summer vegetable,"vine, green, healthy","slicing cucumber, https://media.gettyimages.com/id/1241630178/photo/from-left-a-slicing-cucumber-a-hot-house-cucumber-bottom-right-and-a-pickling-cucumber-top.jpg?s=612x612&w=gi&k=20&c=bkYMbrF6-REvfhMet78wak1o6jZR-8lsorsp4ZgPsTk=","pickling cucumber, https://media.istockphoto.com/id/1335658296/photo/fresh-cucumbers-in-water-harvest-of-ripe-cucumbers-grocery-concept-organic-vegetables-farm.jpg?s=612x612&w=0&k=20&c=UJ9FQCojfu1Eo01PFTMYoaGcgswoJ2dtmOtAZHdKH5A=",", https://cf.shopee.ph/file/129659286f823f245dd1fe7455d808b9"
eggplant,meaty and versatile nightshade vegetable,"nightshade, purple, healthy","Italian, https://media.istockphoto.com/id/506006626/photo/eggplant-varieties-on-slate-overhead-view.jpg?s=612x612&w=0&k=20&c=9XJGddzCRjLb5me2IZDKe1jUNCcktKeXUdNbd8nZchY=","Chinese, https://thumbs.dreamstime.com/b/chinese-eggplant-solanum-melongena-17605226.jpg","Japanese, https://assets.epicurious.com/photos/57bf0b1ca5138f0d58edec04/16:9/w_1280,c_limit/shutterstock_155451581.jpg"
kale,nutrient-rich leafy green,"leafy, healthy, superfood","curly kale, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRteU5W3ydQVdLfmqw6-9kBqLuuLLCTLZdDkQ&usqp=CAU","dinosaur kale, https://media.istockphoto.com/id/1187198705/photo/cavolo-nero-growing-in-a-vegetable-garden.jpg?s=612x612&w=0&k=20&c=jGToKTAYL7qUGfKlCgsxwoqpbjguBKHz_Wtgvh7Rxgc=","red russian kale, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwZGDBM8PvqHeZ95jouk0mhDafXOZJyEv4SQ&usqp=CAU"
leek,mild and sweet onion relative,"allium, healthy, aromatic","American Flag, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSs490SR4VyTCBsymeuKgljqLD-Qbj-npbvJA&usqp=CAU","King Richard, https://i0.wp.com/homesteadandchill.com/wp-content/uploads/2021/12/how-to-grow-leeks-long-season-harvest-homestead-chill.jpeg?resize=800%2C1067&ssl=1","Tadorna, https://hosstools.com/wp-content/uploads/2020/11/american-flag-leek-300x201.jpg"
okra,slimy yet delicious pod vegetable,"pod, green, southern","Emerald, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtehF7XGJTL0ZNiL6KDKrp3eOD4aEdAgN91g&usqp=CAU","Clemson Spineless, https://cdn.shopify.com/s/files/1/0511/9351/2131/products/Okra_1024x1024.jpg?v=1609771106","Cajun Delight, https://static.wixstatic.com/media/d45f52_c172faa69edf43b287977a782072fb91~mv2.jpg/v1/fill/w_560,h_318,al_c,q_90,enc_auto/d45f52_c172faa69edf43b287977a782072fb91~mv2.jpg"
parsnip,earthy and nutty root vegetable,"root, healthy, winter","All-American, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmxBtvH7aL6tcs1gtaX6ZjVm9j1vowx5pDdg&usqp=CAU","Hollow Crown, https://resources.stuff.co.nz/content/dam/images/4/y/t/i/d/q/image.related.StuffLandscapeSixteenByNine.620x349.235ugo.png/1630475347803.jpg","Javelin, https://i.etsystatic.com/32991527/r/il/dcbee6/3605388110/il_fullxfull.3605388110_p8at.jpg"
radish,crisp and spicy root vegetable,"root, healthy, red","French Breakfast, https://t3.ftcdn.net/jpg/01/59/02/82/360_F_159028214_708Bz3sk9YDa3LyyWUlhw2cqBndPpGzn.jpg","Daikon, https://media.istockphoto.com/id/158690321/photo/daikon-radishes.jpg?s=612x612&w=0&k=20&c=X6llEsMcjCDneMmeBhxpOKtaB5q436vpelByLf2lpKk=","Watermelon, https://media.istockphoto.com/id/644993860/photo/one-whole-and-sliced-watermelon-radish-isolated-on-white-background.jpg?s=612x612&w=0&k=20&c=YOZVvpjsMGRUasqpuDnKwK9HroAhzRaFKU-wOVoc6mU="
rutabaga,sweet and nutty root vegetable,"root, yellow, healthy","American Purple Top, https://cdn.shopify.com/s/files/1/1904/8475/products/Rutabaga-AmericanPurpleTop_large.jpg?v=1677324316","Laurentian, https://i.pinimg.com/736x/e5/7d/1b/e57d1bb6754ab7fe0d0dc0e7bafadc0f.jpg","Marian, https://www.bee-seeds.eu/media/image/d3/47/e0/Steckruebe_Marian_Samen_1.jpg"
snap pea,crunchy and sweet pod vegetable,"pod, green, healthy","Sugar Ann, https://cdn.shopify.com/s/files/1/0387/2358/4044/products/pea.png?v=1589552609","Sugar Snap, https://media.istockphoto.com/id/97882663/photo/sugar-snap-peas.jpg?s=612x612&w=0&k=20&c=AKcc2qIb2IY9L5XdT5B4gwQCSH0JpJGifO0AUUcyU-k=","Cascadia, http://cdn.shopify.com/s/files/1/0481/7436/6882/products/SEED-113-2T.jpg?v=1624398516"
sweet corn,juicy and sweet summer staple,"grain, yellow, healthy","Silver Queen, https://cdn.shopify.com/s/files/1/1537/5553/products/00134_1024x1024.jpg?v=1581943504","Bodacious, https://cdn11.bigcommerce.com/s-babw2/images/stencil/1280x1280/products/611/8142/81I5C0AFxQL__19560.1669750532.jpg?c=2","Ambrosia, https://cdn.shopify.com/s/files/1/0198/4226/9246/products/51lFkNwtKeL._AC_SL1000.jpg?v=1677901450&width=1445"
swiss chard,colorful and versatile leafy green,"leafy, healthy, rainbow","red chard, https://media.istockphoto.com/id/184396406/photo/swiss-chard.jpg?s=612x612&w=0&k=20&c=06SYhFHzcIKkrEKiXzXdPefIhA_XDx5m8Bv1w0IeuFM=","white chard, https://t4.ftcdn.net/jpg/00/39/03/05/360_F_39030523_UJ9rc9rWdcIRRGWaFhDQO7DDWY0Yw6yH.jpg","rainbow chard, https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Yoe2cnwdmHbuQgh9p6jzWwHaFj%26pid%3DApi&f=1&ipt=440e596aa970b56ca9d156bd3751986d400047ad7f529ccec37a762104ab8508&ipo=images"
turnip,pungent and earthy root vegetable,"root, healthy, white","Tokyo Cross, https://www.jungseed.com/images/popup/04015b.jpg","Golden Ball, https://cdn.shopify.com/s/files/1/1022/5071/products/751170422_aeb0bc78-a04f-480a-a01f-4241fa744922_500x395.jpg?v=1677426377","Purple Top White Globe, https://americanseedco.com/wp-content/uploads/2013/07/Purple-Top-White-Globe-Turnip-01.gif"
zucchini,mild and versatile summer squash,"squash, green, healthy","Black Beauty, https://www.everwilde.com/media/0800/VSQSBLB-A-Black-Beauty-Summer-Squash-Seeds.jpg","Golden zucchini, https://media.istockphoto.com/id/497686619/photo/yellow-squash.jpg?s=612x612&w=0&k=20&c=qDIJopA-7eVJTDMd1K4Wk6XaD14RkHZIo9VknT1rUwc=","Italian striped, https://media.istockphoto.com/id/1205057825/photo/italian-zucchini.jpg?s=612x612&w=0&k=20&c=V2xdsJuAlPxVlzWfdjSYkstUnIno5EwBaPyytPJn0xI="
watercress,peppery and refreshing leafy green,"leafy, healthy, aquatic","English, https://media.istockphoto.com/id/172203176/photo/fresh-watercress.jpg?s=612x612&w=0&k=20&c=0u-AFfuyeWYdOXecnpMqLDC6WUW8gVbeTErsjvMKQk4=","American, https://media.istockphoto.com/id/172203176/photo/fresh-watercress.jpg?s=612x612&w=0&k=20&c=0u-AFfuyeWYdOXecnpMqLDC6WUW8gVbeTErsjvMKQk4=","Japanese, https://media.istockphoto.com/id/172203176/photo/fresh-watercress.jpg?s=612x612&w=0&k=20&c=0u-AFfuyeWYdOXecnpMqLDC6WUW8gVbeTErsjvMKQk4="
mustard greens,pungent and flavorful leafy green,"leafy, healthy, spicy","Red Giant, https://www.theseedcollection.com.au/assets/full/B1-20.jpg?20201210124102","Green Wave, https://cdn.shopify.com/s/files/1/0972/6282/products/green-wave-mustard-50-days-vegetables-pinetree-garden-seeds_150_600x.jpg?v=1572452008","Southern Giant, https://cdn.shopify.com/s/files/1/1022/5071/products/organic-mustard-seeds-southern-giant-curled-leafy-green-vegetable-cold-resistant-and-slow-to-bolt-1-926042_24d0f8bb-297c-4bfb-9fa6-84e88ce8de02.jpg?v=1677426208"
collard greens,hearty and nutritious leafy green,"leafy, healthy, southern","Vates, https://gardenerspath.com/wp-content/uploads/2020/06/Collard-Greens-Varieties-FB.jpg","Champion, https://m.media-amazon.com/images/I/51K2bne52RL._AC_UF894,1000_QL80_.jpg","Morris Heading, https://cdn.shopify.com/s/files/1/0257/4565/3811/products/morris-heading-collards.jpg?v=1642630155"
arugula,nutty and peppery leafy green,"leafy, healthy, salad, green","Astro, https://www.highmowingseeds.com/media/catalog/product/cache/6cbdb003cf4aae33b9be8e6a6cf3d7ad/2/0/2010-1.jpg","Wild, https://media.istockphoto.com/id/532687989/photo/fresh-arugula.jpg?s=612x612&w=0&k=20&c=6_uPn75qQNImIHJC6LEWrQAZ9837A1joHZ-fmU3mKxs=","Selvatica, https://cdn.shopify.com/s/files/1/0011/2341/8172/products/MS566-Selvatica-IMG_9140_600x600.jpg?v=1576612995"
